company,company_github_org,platform,target_type,target,target_name,target_url,oc_total_donated_usd,matched_catalogue_project,matched_repo_url,matched_tier
1Password,1Password,github_sponsors,User,tarcieri,Tony Arcieri,https://github.com/tarcieri,,cool.io,https://github.com/tarcieri/cool.io,B
1Password,1Password,github_sponsors,User,BurntSushi,Andrew Gallant,https://github.com/BurntSushi,,ripgrep,https://github.com/burntsushi/ripgrep,A
1Password,1Password,github_sponsors,User,GuillaumeGomez,Guillaume Gomez,https://github.com/GuillaumeGomez,,sysinfo,https://github.com/guillaumegomez/sysinfo,B
1Password,1Password,github_sponsors,Organization,tokio-rs,Tokio,https://github.com/tokio-rs,,tokio,https://github.com/tokio-rs/tokio,A
1Password,1Password,github_sponsors,Organization,rust-analyzer,rust-analyzer,https://github.com/rust-analyzer,,rowan,https://github.com/rust-analyzer/rowan,B
Amazon Web Services,aws,github_sponsors,User,cperciva,Colin Percival,https://github.com/cperciva,,,,
Azure Pipelines,microsoft,github_sponsors,Organization,wixtoolset,WiX Toolset,https://github.com/wixtoolset,,wix,https://github.com/wixtoolset/wix,B
CDN77,cdn77,github_sponsors,User,ondrejmirtes,Ondřej Mirtes,https://github.com/ondrejmirtes,,,,
Chromatic,chromaui,github_sponsors,User,budtmo,Budi Utomo,https://github.com/budtmo,,docker-android,https://github.com/budtmo/docker-android,B
Chromatic,chromaui,github_sponsors,Organization,mswjs,Mock Service Worker,https://github.com/mswjs,,msw,https://github.com/mswjs/msw,B
Chromatic,chromaui,github_sponsors,Organization,openwebdocs,Open Web Docs,https://github.com/openwebdocs,,,,
Chromatic,chromaui,github_sponsors,Organization,vitest-dev,Vitest,https://github.com/vitest-dev,,vitest,https://github.com/vitest-dev/vitest,A
Cirrus Labs,cirruslabs,github_sponsors,User,devMEremenko,Maksym Yeromenko,https://github.com/devMEremenko,,,,
CodeRabbit,coderabbitai,github_sponsors,User,yusukebe,Yusuke Wada,https://github.com/yusukebe,,,,
CodeRabbit,coderabbitai,github_sponsors,User,shaal,Ofer Shaal,https://github.com/shaal,,,,
CodeRabbit,coderabbitai,github_sponsors,User,usualoma,Taku Amano,https://github.com/usualoma,,,,
CodeRabbit,coderabbitai,github_sponsors,User,avelino,Avelino,https://github.com/avelino,,awesome-go,https://github.com/avelino/awesome-go,B
CodeRabbit,coderabbitai,github_sponsors,User,foosel,Gina Häußge,https://github.com/foosel,,,,
CodeRabbit,coderabbitai,github_sponsors,User,sindresorhus,Sindre Sorhus,https://github.com/sindresorhus,,awesome-electron,https://github.com/sindresorhus/awesome-electron,B
CodeRabbit,coderabbitai,github_sponsors,User,frenck,Franck Nijhof,https://github.com/frenck,,python-wled,https://github.com/frenck/python-wled,B
CodeRabbit,coderabbitai,github_sponsors,User,jdx,,https://github.com/jdx,,mise,https://github.com/jdx/mise,B
CodeRabbit,coderabbitai,github_sponsors,User,gnachman,George Nachman,https://github.com/gnachman,,iTerm2,https://github.com/gnachman/iterm2,B
CodeRabbit,coderabbitai,github_sponsors,User,webpro,Lars Kappert,https://github.com/webpro,,reveal-md,https://github.com/webpro/reveal-md,B
CodeRabbit,coderabbitai,github_sponsors,User,BurntSushi,Andrew Gallant,https://github.com/BurntSushi,,ripgrep,https://github.com/burntsushi/ripgrep,A
CodeRabbit,coderabbitai,github_sponsors,Organization,Warzone2100,The Warzone 2100 Project,https://github.com/Warzone2100,,,,
CodeRabbit,coderabbitai,github_sponsors,User,yyx990803,Evan You,https://github.com/yyx990803,,launch-editor,https://github.com/yyx990803/launch-editor,A
CodeRabbit,coderabbitai,github_sponsors,User,lambdalisue,Λlisue,https://github.com/lambdalisue,,rs-metrics-process,https://github.com/lambdalisue/rs-metrics-process,B
CodeRabbit,coderabbitai,github_sponsors,User,patak-cat,patak,https://github.com/patak-cat,,,,
CodeRabbit,coderabbitai,github_sponsors,User,posva,Eduardo San Martin Morote,https://github.com/posva,,pinia,https://github.com/posva/pinia,B
CodeRabbit,coderabbitai,github_sponsors,User,lukevella,Luke Vella,https://github.com/lukevella,,rallly,https://github.com/lukevella/rallly,B
CodeRabbit,coderabbitai,github_sponsors,User,slorber,Sébastien Lorber,https://github.com/slorber,,react-async-hook,https://github.com/slorber/react-async-hook,B
CodeRabbit,coderabbitai,github_sponsors,User,PatrickJS,PatrickJS,https://github.com/PatrickJS,,angular-hmr,https://github.com/patrickjs/angular-hmr,B
CodeRabbit,coderabbitai,github_sponsors,User,vinhnx,Vinh Nguyen,https://github.com/vinhnx,,vtcode,https://github.com/vinhnx/vtcode,B
CodeRabbit,coderabbitai,github_sponsors,User,franky47,François Best,https://github.com/franky47,,,,
CodeRabbit,coderabbitai,github_sponsors,User,tiangolo,Sebastián Ramírez,https://github.com/tiangolo,,fastapi,https://github.com/tiangolo/fastapi,B
CodeRabbit,coderabbitai,github_sponsors,User,balloob,Paulus Schoutsen,https://github.com/balloob,,,,
CodeRabbit,coderabbitai,github_sponsors,User,ryoppippi,ryoppippi,https://github.com/ryoppippi,,ccusage,https://github.com/ryoppippi/ccusage,B
CodeRabbit,coderabbitai,github_sponsors,User,DavidAnson,David Anson,https://github.com/DavidAnson,,markdownlint,https://github.com/davidanson/markdownlint,B
CodeRabbit,coderabbitai,github_sponsors,User,leaanthony,Lea Anthony,https://github.com/leaanthony,,clir,https://github.com/leaanthony/clir,B
CodeRabbit,coderabbitai,github_sponsors,User,JanDeDobbeleer,Jan De Dobbeleer,https://github.com/JanDeDobbeleer,,oh-my-posh,https://github.com/jandedobbeleer/oh-my-posh,B
CodeRabbit,coderabbitai,github_sponsors,User,HerringtonDarkholme,Herrington Darkholme,https://github.com/HerringtonDarkholme,,typescript-repl,https://github.com/herringtondarkholme/typescript-repl,B
